Entry	Entry name	Organism ID
P07764	ALF_DROME	7227
O15945	ARNT_DROME	7227
Q95NH6	ATTC_DROME	7227
Q9VC57	ATLAS_DROME	7227
P16568	BICD_DROME	7227
Q9VQ79	AIFM1_DROME	7227
Q8MQX9	ANKL2_DROME	7227
Q9VKN7	AURKB_DROME	7227
P20439	CCNB_DROME	7227
P20905	5HT1R_DROME	7227
P29844	BIP_DROME	7227
Q2VG86	BAEE_BOMMO	7091
P07140	ACES_DROME	7227
P10083	AST5_DROME	7227
Q9VGI8	BLM_DROME	7227
Q8SXL2	CCHA2_DROME	7227
Q9VQ30	CHNMO_DROME	7227
Q24157	BRN_DROME	7227
Q7K237	C1GLT_DROME	7227
Q9NHE5	CAPS_DROME	7227
O02002	CASP1_DROME	7227
Q8IRY7	CASP8_DROME	7227
P14599	A4_DROME	7227
Q8INB9	AKT1_DROME	7227
P61209	ARF1_DROME	7227
Q9VTG7	B3G2P_DROME	7227
Q24522	BUN1_DROME	7227
Q24120	CAPU_DROME	7227
P22745	BAM_DROME	7227
Q7K5N4	CALYP_DROME	7227
Q9VAF5	CAD99_DROME	7227
Q7Q2B7	CARM1_ANOGA	7165
O77086	C3G_DROME	7227
A2VEY9	APP_DROME	7227
Q7M3M8	CAS_DROME	7227
Q9I7F7	ACKL_DROME	7227
P18091	ACTN_DROME	7227
P22700	ATC1_DROME	7227
Q5EAK6	ATM_DROME	7227
Q9VH48	CARM1_DROME	7227
P19018	TRA2_DROME	7227
P28466	WNT5_DROME	7227
Q7KVA1	XYLT_DROME	7227
Q9VCU7	VRET_DROME	7227
Q9U1K1	SPIR_DROME	7227
Q24151	STAT_DROME	7227
P25159	STAU_DROME	7227
Q9V7P1	UTP18_DROME	7227
A1Z8D0	PWP1_DROME	7227
P22814	RUNT_DROME	7227
Q24535	SRF_DROME	7227
Q8IRG6	SPT16_DROME	7227
Q9GQQ0	SPIN_DROME	7227
Q9VZZ4	PXDN_DROME	7227
Q23983	SNAP_DROME	7227
Q6NN85	SSH_DROME	7227
P42286	THR_DROME	7227
Q8I8U7	TRA1_DROME	7227
P91938	TRXR1_DROME	7227
Q06559	RS3_DROME	7227
Q9VVR6	SGF11_DROME	7227
Q8SX83	SPEN_DROME	7227
Q9VCJ8	SPE_DROME	7227
Q08473	SQD_DROME	7227
P47938	THIO1_DROME	7227
P48810	RB87F_DROME	7227
P43125	RDGB_DROME	7227
Q9W0P2	REV1_DROME	7227
P08646	RAS1_DROME	7227
B3P8A3	SPAST_DROER	7220
P61851	SODC_DROME	7227
Q8MQW8	SPRI_DROME	7227
Q9V3Z1	TRIB_DROME	7227
P07207	NOTCH_DROME	7227
A8DYP0	OBSCN_DROME	7227
P35992	PTP10_DROME	7227
Q9XZ34	RIF1_DROME	7227
P15357	RS27A_DROME	7227
Q24212	STNB_DROME	7227
Q94547	RGA_DROME	7227
P18168	SERR_DROME	7227
P53034	RFC2_DROME	7227
Q9VIW3	RAGP1_DROME	7227
Q7K2X8	SEH1_DROME	7227
Q9VN45	SPART_DROME	7227
A1Z8P9	TPR_DROME	7227
P20480	NCD_DROME	7227
Q94887	NRX4_DROME	7227
P17917	PCNA_DROME	7227
P26017	PC_DROME	7227
Q9VKM1	PIWI_DROME	7227
Q9V637	PSMF1_DROME	7227
Q24488	ROR1_DROME	7227
P54631	SCW_DROME	7227
Q9XZL8	SRA_DROME	7227
Q00637	SODM_DROME	7227
P35500	SCNA_DROME	7227
P20193	SUV37_DROME	7227
Q24547	STX1A_DROME	7227
O96433	CCNT_DROME	7227
Q9VJE5	CL190_DROME	7227
P08120	CO4A1_DROME	7227
A1Z9L3	DHX8_DROME	7227
Q9VVW5	DUSK3_DROME	7227
Q24324	DSOR1_DROME	7227
Q9VW15	ASH1_DROME	7227
H9JW43	CDA8_BOMMO	7091
P14785	CCNA_DROME	7227
P25008	CCNC_DROME	7227
Q9NII1	ADAR_DROME	7227
Q9VVN4	ATRIP_DROME	7227
Q24048	ATPB2_DROME	7227
Q4V4I9	CCHA1_DROME	7227
Q24270	CAC1D_DROME	7227
P20482	CNC_DROME	7227
Q9VXG8	ATR_DROME	7227
Q24207	BOULE_DROME	7227
Q24298	CADE_DROME	7227
Q95029	CATL_DROME	7227
Q9I7I0	CCNB3_DROME	7227
A1ZAB5	CLU_DROME	7227
Q9VGH1	CP315_DROME	7227
P61855	AKH_DROME	7227
Q9VQI9	AFFL_DROME	7227
Q9VHV5	ARL8_DROME	7227
P10084	AST4_DROME	7227
Q9VGH7	CLCN2_DROME	7227
Q9VCA8	ANKHM_DROME	7227
P25439	BRM_DROME	7227
O97159	CHDM_DROME	7227
P92177	1433E_DROME	7227
Q9VLJ6	ACER_DROME	7227
Q9V3X4	BSCL2_DROME	7227
Q11002	CANA_DROME	7227
P48603	CAPZB_DROME	7227
Q9XZ58	CSN5_DROME	7227
Q9V407	AXN_DROME	7227
Q9GQN5	ATRX_DROME	7227
P91645	CAC1A_DROME	7227
Q9VYG2	BAP60_DROME	7227
Q9U4G1	BDL_DROME	7227
Q9VD83	BURS_DROME	7227
Q24523	BUN2_DROME	7227
Q9VBW3	CAD96_DROME	7227
Q29HY3	CDC42_DROPS	46245
Q9VP76	AC78C_DROME	7227
P13607	ATNA_DROME	7227
Q24256	BARH2_DROME	7227
P56079	CDS_DROME	7227
P48609	CDK5_DROME	7227
P29742	CLH_DROME	7227
Q9NK54	CHIF_DROME	7227
Q24174	ABRU_DROME	7227
P28285	5HT2A_DROME	7227
Q961D9	BCL9_DROME	7227
Q9VT57	CDK8_DROME	7227
Q6J5K9	ARMI_DROME	7227
Q8ML92	AVE_DROME	7227
Q01071	ESMD_DROME	7227
Q24312	EWG_DROME	7227
Q9VVX3	FRIZ2_DROME	7227
P26308	GBB1_DROME	7227
Q8T0S6	HIPPO_DROME	7227
Q02308	HLES_DROME	7227
Q8SY33	GAWKY_DROME	7227
B3P7F8	HH_DROER	7220
Q9V427	INX2_DROME	7227
Q9VEX5	INT13_DROME	7227
Q24592	JAK_DROME	7227
B4HSL3	LIS1_DROSE	7238
Q7KTX8	MED13_DROME	7227
Q8IS44	DRD2L_DROME	7227
Q05201	EYA_DROME	7227
Q9Y169	EXT2_DROME	7227
